Seed,Inf,Alpha
1,1.02745e+01,1.02300e+02
10,1.06394e+01,9.79016e+01
100,1.02949e+01,1.03031e+02
1000,1.01009e+01,1.01936e+02
101,1.02230e+01,1.01834e+02
102,1.04741e+01,1.00957e+02
103,1.02131e+01,1.01209e+02
104,1.06675e+01,9.90022e+01
105,1.02637e+01,1.01257e+02
106,1.04403e+01,1.00054e+02
107,1.10013e+01,9.72713e+01
108,1.06196e+01,9.93228e+01
109,1.04962e+01,1.01124e+02
11,1.07405e+01,9.73388e+01
110,1.05584e+01,9.88452e+01
111,1.02946e+01,1.02667e+02
112,1.03148e+01,1.01315e+02
113,1.03821e+01,1.02529e+02
114,1.05287e+01,9.98691e+01
115,1.01862e+01,1.02561e+02
116,1.07660e+01,9.81564e+01
117,1.04595e+01,1.00281e+02
118,1.03972e+01,1.00531e+02
119,1.02101e+01,1.02088e+02
12,1.07286e+01,9.84129e+01
120,1.04233e+01,1.00794e+02
121,1.07220e+01,9.79379e+01
122,1.04916e+01,1.00944e+02
123,1.08110e+01,9.76886e+01
124,1.07519e+01,9.86072e+01
125,1.02689e+01,1.03476e+02
126,1.04321e+01,1.01385e+02
127,1.00450e+01,1.03538e+02
128,1.06962e+01,9.92115e+01
129,1.06493e+01,9.90420e+01
13,1.08951e+01,9.66751e+01
130,1.04758e+01,1.00265e+02
131,1.02808e+01,1.02421e+02
132,1.05482e+01,9.99360e+01
133,1.03560e+01,1.01424e+02
134,1.05867e+01,9.91064e+01
135,1.05927e+01,9.83237e+01
136,1.05087e+01,1.00667e+02
137,1.05987e+01,9.93822e+01
138,1.02791e+01,1.01487e+02
139,1.02920e+01,1.01651e+02
14,1.03988e+01,1.00801e+02
140,1.05054e+01,9.99559e+01
141,1.05906e+01,9.97193e+01
142,1.04192e+01,1.01718e+02
143,1.02249e+01,1.00732e+02
144,1.04747e+01,1.00607e+02
1444,1.04012e+01,1.01702e+02
145,1.02835e+01,1.01582e+02
146,1.06871e+01,9.84296e+01
147,1.03967e+01,1.00367e+02
148,1.05879e+01,1.00796e+02
149,1.04601e+01,9.98911e+01
15,1.06397e+01,9.85234e+01
150,1.04078e+01,1.00318e+02
151,1.02578e+01,1.03485e+02
152,1.06017e+01,9.91495e+01
153,1.05383e+01,9.91023e+01
154,1.04089e+01,1.01387e+02
155,1.05713e+01,9.97137e+01
156,1.05321e+01,9.94833e+01
157,1.02053e+01,1.02700e+02
158,1.03553e+01,1.01192e+02
159,1.03452e+01,1.01924e+02
16,1.02001e+01,1.02799e+02
160,1.04260e+01,9.97508e+01
161,1.04073e+01,9.93727e+01
162,1.01956e+01,1.03922e+02
163,1.03098e+01,1.01405e+02
164,1.05461e+01,1.00757e+02
165,1.04464e+01,1.00379e+02
166,1.02521e+01,1.01448e+02
167,1.02741e+01,1.02270e+02
168,1.04045e+01,1.00753e+02
169,1.07426e+01,9.88228e+01
17,1.03528e+01,1.02311e+02
170,1.03036e+01,1.00838e+02
171,1.05131e+01,1.00569e+02
172,1.03939e+01,1.02596e+02
173,1.04247e+01,1.00725e+02
174,1.05112e+01,1.01413e+02
175,1.01185e+01,1.03083e+02
176,1.03392e+01,1.01054e+02
177,1.00929e+01,1.03611e+02
178,1.06726e+01,9.92301e+01
179,1.04389e+01,1.00816e+02
18,1.00378e+01,1.04345e+02
180,1.06758e+01,9.83930e+01
181,1.05943e+01,9.87227e+01
182,1.00248e+01,1.02341e+02
183,1.03757e+01,1.01667e+02
184,1.07155e+01,9.86546e+01
185,1.04828e+01,1.00368e+02
186,1.04568e+01,1.01073e+02
187,1.06782e+01,9.86113e+01
188,1.04890e+01,1.00847e+02
189,1.05194e+01,1.00141e+02
19,1.03594e+01,1.00913e+02
190,1.03170e+01,1.01601e+02
191,1.06585e+01,9.95732e+01
192,1.05304e+01,9.99499e+01
193,1.06106e+01,9.93029e+01
194,1.05112e+01,1.00904e+02
195,1.04567e+01,9.91061e+01
196,1.06402e+01,9.80375e+01
197,1.04880e+01,1.01310e+02
198,1.01555e+01,1.03194e+02
199,1.01282e+01,1.02168e+02
2,1.06610e+01,9.85897e+01
20,1.04925e+01,1.00811e+02
200,1.04638e+01,1.00528e+02
201,1.03940e+01,1.00951e+02
202,1.06077e+01,9.93145e+01
203,1.04949e+01,1.00833e+02
204,1.08347e+01,9.76135e+01
205,1.05383e+01,1.00136e+02
206,1.04362e+01,1.00371e+02
207,1.04707e+01,9.98018e+01
208,1.07427e+01,9.82345e+01
209,1.05641e+01,9.96532e+01
21,1.08141e+01,9.73834e+01
210,1.03405e+01,1.01555e+02
211,1.03468e+01,1.01530e+02
212,1.04223e+01,1.00797e+02
213,1.04453e+01,1.01247e+02
214,1.05491e+01,9.79872e+01
215,1.03831e+01,1.01070e+02
216,1.04529e+01,1.00264e+02
217,1.03136e+01,1.02215e+02
218,1.04339e+01,1.01865e+02
219,1.06701e+01,9.81035e+01
22,1.05415e+01,9.79158e+01
220,1.03871e+01,1.00883e+02
221,1.03270e+01,1.00705e+02
222,1.08627e+01,9.86906e+01
223,1.03838e+01,1.01556e+02
224,1.05881e+01,9.94659e+01
225,1.02535e+01,1.01647e+02
226,1.02857e+01,1.02461e+02
227,1.05376e+01,1.00199e+02
228,1.06915e+01,9.93333e+01
229,1.04123e+01,1.02092e+02
23,1.05031e+01,9.83788e+01
230,1.05841e+01,9.96284e+01
231,1.07853e+01,9.87465e+01
232,1.02133e+01,1.02202e+02
233,1.06139e+01,9.98318e+01
234,1.06661e+01,9.84506e+01
235,1.02580e+01,1.02688e+02
236,1.01507e+01,1.03160e+02
237,1.02995e+01,1.02703e+02
238,1.03596e+01,1.00744e+02
239,1.01092e+01,1.02423e+02
24,1.05569e+01,1.00591e+02
240,1.03805e+01,1.01718e+02
241,1.05116e+01,1.00741e+02
242,1.03153e+01,1.02141e+02
243,1.05433e+01,1.01191e+02
244,1.04052e+01,1.01490e+02
245,1.06972e+01,9.85713e+01
246,1.05423e+01,9.98764e+01
247,1.05042e+01,1.01132e+02
248,1.05385e+01,1.00189e+02
249,1.02766e+01,1.02089e+02
25,1.07521e+01,9.83130e+01
250,1.07964e+01,9.82280e+01
251,1.05168e+01,9.90061e+01
252,1.04254e+01,1.01073e+02
253,1.01706e+01,1.02499e+02
254,1.04456e+01,9.99712e+01
255,9.88223e+00,1.05875e+02
256,1.03953e+01,1.01673e+02
257,1.04064e+01,1.00476e+02
258,1.06466e+01,9.92354e+01
259,1.02452e+01,1.03162e+02
26,1.07910e+01,9.90420e+01
260,1.04138e+01,1.00773e+02
261,1.02907e+01,1.01197e+02
262,1.03084e+01,1.01958e+02
263,1.05242e+01,1.00752e+02
264,1.02565e+01,1.02235e+02
265,1.06601e+01,9.95575e+01
266,1.05094e+01,9.86859e+01
267,1.04761e+01,9.99586e+01
268,1.05885e+01,9.95462e+01
269,1.05591e+01,1.00456e+02
27,1.03453e+01,1.01469e+02
270,1.02253e+01,1.02087e+02
271,1.03758e+01,1.01351e+02
272,1.05015e+01,9.84939e+01
273,1.04756e+01,1.00778e+02
274,1.07562e+01,9.76178e+01
275,1.01752e+01,1.03714e+02
276,1.03637e+01,1.02994e+02
277,1.05922e+01,1.00896e+02
278,1.06584e+01,9.85448e+01
279,1.07201e+01,9.68252e+01
28,1.04487e+01,1.01974e+02
280,1.04173e+01,1.00273e+02
281,1.06224e+01,9.90749e+01
282,1.00559e+01,1.02597e+02
283,1.06628e+01,9.83389e+01
284,1.02918e+01,1.00915e+02
285,1.04687e+01,1.01210e+02
286,1.02663e+01,1.03147e+02
287,1.03532e+01,1.02774e+02
288,1.06891e+01,9.93672e+01
289,1.01797e+01,1.02197e+02
29,1.03955e+01,1.01379e+02
290,1.05104e+01,1.01013e+02
291,1.04855e+01,1.01359e+02
