Seed,Theta,Inf,Alpha
2001,0.0,1.04822e+01,9.96003e+01
2001,0.5,1.04827e+01,9.90996e+01
2001,1.0,1.04831e+01,9.86039e+01
2002,0.0,1.05837e+01,9.92751e+01
2002,0.5,1.05842e+01,9.87750e+01
2002,1.0,1.05846e+01,9.82798e+01
2003,0.0,1.06346e+01,9.91283e+01
2003,0.5,1.06347e+01,9.86374e+01
2003,1.0,1.06348e+01,9.81514e+01
2004,0.0,1.03568e+01,1.01886e+02
2004,0.5,1.03566e+01,1.01379e+02
2004,1.0,1.03563e+01,1.00877e+02
2005,0.0,1.02760e+01,1.01752e+02
2005,0.5,1.02750e+01,1.01251e+02
2005,1.0,1.02739e+01,1.00756e+02
2006,0.0,1.05736e+01,9.90470e+01
2006,0.5,1.05741e+01,9.85469e+01
2006,1.0,1.05746e+01,9.80519e+01
2007,0.0,1.03961e+01,1.02625e+02
2007,0.5,1.03948e+01,1.02125e+02
2007,1.0,1.03935e+01,1.01630e+02
2008,0.0,1.05378e+01,1.00165e+02
2008,0.5,1.05378e+01,9.96676e+01
2008,1.0,1.05377e+01,9.91747e+01
2009,0.0,1.01230e+01,1.03178e+02
2009,0.5,1.01220e+01,1.02669e+02
2009,1.0,1.01211e+01,1.02164e+02
2010,0.0,1.05827e+01,1.00333e+02
2010,0.5,1.05826e+01,9.98370e+01
2010,1.0,1.05825e+01,9.93457e+01
2011,0.0,1.06769e+01,9.84511e+01
2011,0.5,1.06765e+01,9.79638e+01
2011,1.0,1.06761e+01,9.74812e+01
2012,0.0,1.04495e+01,1.00108e+02
2012,0.5,1.04496e+01,9.96061e+01
2012,1.0,1.04496e+01,9.91094e+01
2013,0.0,1.03937e+01,1.01255e+02
2013,0.5,1.03936e+01,1.00746e+02
2013,1.0,1.03936e+01,1.00241e+02
2014,0.0,1.03736e+01,1.01535e+02
2014,0.5,1.03733e+01,1.01025e+02
2014,1.0,1.03730e+01,1.00520e+02
2015,0.0,1.02906e+01,1.01581e+02
2015,0.5,1.02906e+01,1.01069e+02
2015,1.0,1.02906e+01,1.00562e+02
2016,0.0,1.03983e+01,1.00545e+02
2016,0.5,1.03984e+01,1.00038e+02
2016,1.0,1.03986e+01,9.95364e+01
2017,0.0,1.04989e+01,9.99073e+01
2017,0.5,1.04990e+01,9.94048e+01
2017,1.0,1.04991e+01,9.89073e+01
2018,0.0,1.06440e+01,9.87746e+01
2018,0.5,1.06451e+01,9.82716e+01
2018,1.0,1.06461e+01,9.77736e+01
2019,0.0,1.05189e+01,1.00125e+02
2019,0.5,1.05191e+01,9.96214e+01
2019,1.0,1.05194e+01,9.91225e+01
2020,0.0,1.02140e+01,1.02937e+02
